Title,Tags,Score,Date,Matched_Type,AnswerCount,ViewCount,PostLength,TagCount,Cluster,PCA1,PCA2
,,20,2008-08-29T16:12:09.120,thread_safety_violation,0,0,1752,0,0,-0.789693574370539,0.20561188540019829
How to find a Java Memory Leak,|java|memory|memory-leaks|jhat|,150,2008-09-02T17:37:12.173,resource_leak,12,159975,1027,1,1,2.894532219403853,-0.18416973933952338
"Anatomy of a ""Memory Leak""",|.net|performance|memory-leaks|com-interop|,181,2008-08-01T15:12:34.837,resource_leak,15,15291,453,1,1,2.5792295162408245,-0.6601061398883088
,,30,2008-09-02T15:21:20.037,thread_safety_violation,0,0,434,0,0,-0.7252817718572537,-0.10839357301617707
,,112,2008-08-01T15:28:12.543,resource_leak,0,0,1523,0,0,-0.6735809895811218,0.45688349730166183
Can using lambdas as event handlers cause a memory leak?,|memory-leaks|lambda|event-handling|,20,2008-08-19T16:03:46.187,resource_leak,5,7241,556,1,1,1.050517599060224,-0.9916737157954283
,,16,2008-08-19T16:08:24.663,resource_leak,0,0,554,0,0,-0.7463615456890721,-0.12415453906773942
,,36,2008-08-22T00:35:36.430,resource_leak,0,0,240,0,0,-0.7105373916088877,-0.13927077273814328
Is soapUI the best web services testing tool/client/framework?,|web-services|testing|,14,2008-08-28T11:23:44.327,resource_leak,5,12326,551,1,1,1.0705534001174837,-1.000413573754341
,,32,2008-08-15T16:11:41.103,resource_leak,0,0,1390,0,0,-0.7612461513951706,0.15072021712001307
,,151,2008-08-09T04:40:49.250,resource_leak,0,0,4486,0,0,-0.7469198137451822,1.3711115620191971
Making code work with register_globals turned off,|php|register-globals|,13,2008-08-09T05:13:55.877,uninitialized_value,4,2324,628,1,1,0.8840731346454139,-0.9881509499731671
,,20,2008-08-06T11:08:52.283,null_dereference,0,0,1978,0,0,-0.7987452005177755,0.26526485628507784
What is the best free memory leak detector for a C/C++ program and its plug-in DLLs?,|c++|c|visual-studio|memory-leaks|,51,2008-08-25T07:31:46.110,resource_leak,7,117013,597,1,1,1.9226667980898609,-0.6385770516512734
,,18,2008-08-09T06:23:19.140,thread_safety_violation,0,0,700,0,0,-0.749884256292203,-0.07884121980213536
,,35,2008-08-01T17:52:46.293,resource_leak,0,0,1427,0,0,-0.7592408546503225,0.17065107787218864
,,18,2008-08-01T17:57:14.117,resource_leak,0,0,1346,0,0,-0.775757488553773,0.0916712544971222
,,264,2008-09-02T18:37:57.147,thread_safety_violation,0,0,5117,0,3,-0.6408410690625774,1.9205338695478924
,,169,2008-08-22T01:53:44.310,uninitialized_value,0,0,5687,0,3,-0.7740983960997426,1.7491049499671936
,,75,2008-09-02T18:49:13.857,thread_safety_violation,0,0,542,0,0,-0.677299325605707,0.07258315248972576
,,133,2008-09-02T18:49:35.590,resource_leak,0,0,1236,0,0,-0.6376758244185522,0.45228216812819955
Preventing Memory Leaks with Attached Behaviours,|.net|wpf|memory|,12,2008-08-18T00:49:33.957,resource_leak,11,6871,737,1,1,1.809016948696918,-1.096255034522737
,,95,2008-08-01T21:46:12.313,thread_safety_violation,0,0,769,0,0,-0.6631430022585094,0.20026451726498495
,,258,2008-08-29T17:01:56.083,thread_safety_violation,0,0,1608,0,0,-0.5072749554029037,0.9739997808330928
How do you lazily construct a singleton object thread-safely?,|c++|multithreading|thread-safety|singleton|lazy-initialization|,38,2008-08-09T21:16:29.193,thread_safety_violation,9,28110,841,1,1,1.688054082167759,-0.8853539987835304
,,14,2008-08-09T23:09:01.400,thread_safety_violation,0,0,2627,0,0,-0.8317129873900027,0.4162398513726202
,,14,2008-08-09T23:52:40.253,thread_safety_violation,0,0,2099,0,0,-0.8105658254176978,0.2768736185088308
Diagnosing Deadlocks in SQL Server 2005,|sql-server|sql-server-2005|deadlock|,82,2008-08-21T14:18:41.640,thread_safety_violation,22,29597,3582,1,1,3.3207557162568677,-0.27834831311405944
Difference between binary semaphore and mutex,|operating-system|mutex|semaphore|binary-semaphore|,988,2008-09-15T13:23:05.887,thread_safety_violation,37,675429,140,1,4,9.859301791725747,3.211648678919101
How to create a temporary file (for writing to) in C#?,|c#|.net|windows|temporary-files|,17,2008-08-21T14:50:03.623,thread_safety_violation,3,42265,903,1,1,0.9587920955322489,-0.7798951602158928
,,541,2008-09-15T13:29:48.367,thread_safety_violation,0,0,295,0,0,-0.12572819730752216,1.58629872115246
,,11,2008-08-21T14:53:04.473,thread_safety_violation,0,0,512,0,0,-0.7504913853120296,-0.1521816000821207
,,39,2008-08-21T15:23:10.173,thread_safety_violation,0,0,1053,0,0,-0.7396120147324272,0.08548621813202588
,,88,2008-08-05T15:44:46.330,null_dereference,0,0,621,0,0,-0.6653521890035106,0.1374821849292261
Is the C# static constructor thread safe?,|c#|multithreading|singleton|,265,2008-08-10T08:23:55.573,thread_safety_violation,11,70246,355,1,1,2.4525395461073707,-0.1789748109056443
,,32,2008-08-29T18:18:40.487,thread_safety_violation,0,0,1475,0,0,-0.7646505240611666,0.17315606900149433
,,201,2008-08-10T08:46:48.413,thread_safety_violation,0,0,1136,0,0,-0.5546274769178995,0.6562861534196647
How to catch undefined functions with set_error_handler in PHP,|php|,13,2008-08-31T03:57:29.947,uninitialized_value,7,12204,1355,1,1,1.2955459566789425,-0.8333318834914331
,,191,2008-08-02T17:33:54.927,thread_safety_violation,0,0,1577,0,0,-0.5839141638067313,0.7388064106588746
Memory leaks in .NET,|.net|optimization|memory-leaks|,20,2008-08-21T16:11:34.520,resource_leak,14,14740,1143,1,1,2.232042770951549,-1.0041638282186882
,,38,2008-09-14T02:12:23.013,resource_leak,0,0,2982,0,0,-0.818033648575851,0.5912598581077589
,,18,2008-08-14T23:16:39.803,resource_leak,0,0,623,0,0,-0.7468002951712419,-0.09916546209477133
,,144,2008-08-29T19:29:40.940,thread_safety_violation,0,0,708,0,0,-0.6037422619305873,0.35018637874488573
How to make junior programmers write tests?,|unit-testing|testing|,109,2008-08-10T17:34:46.630,null_dereference,24,10576,681,1,1,3.6270437633581847,-1.0423142672059864
Is accessing a variable in C# an atomic operation?,|c#|multithreading|,66,2008-08-13T11:41:29.307,thread_safety_violation,15,27452,1197,1,1,2.479872391631275,-0.8224990031874125
Why can't I use a try block around my super() call?,|java|exception|mocking|try-catch|,47,2008-08-07T21:17:56.813,uninitialized_value,7,12206,1688,1,1,1.3217409724281743,-0.6302315044028031
,,12,2008-09-17T12:49:26.060,thread_safety_violation,0,0,2460,0,0,-0.827349196481155,0.3653835569362973
,,11,2008-09-14T11:24:57.160,thread_safety_violation,0,0,2552,0,0,-0.8321963292959348,0.3862788450734295
,,22,2008-08-19T21:42:45.113,null_dereference,0,0,8376,0,3,-1.0526695335656984,1.9608010692332798
How to use a mutex in Visual Basic,|vb6|mutex|,27,2008-08-04T01:22:49.830,thread_safety_violation,3,9182,310,1,1,0.8197411580368618,-0.986523430112039
,,20,2008-08-31T09:56:24.013,resource_leak,0,0,4571,0,0,-0.9025985925522197,0.9496903142695591
What is the correct way to create a single-instance WPF application?,|c#|.net|wpf|mutex|,742,2008-08-21T00:33:59.453,thread_safety_violation,39,260583,548,1,1,7.628793007904077,1.3912362368359403
,,96,2008-08-21T00:47:28.983,thread_safety_violation,0,0,946,0,0,-0.6690697076455289,0.2503721015527758
,,123,2008-08-21T04:17:57.887,thread_safety_violation,0,0,3660,0,0,-0.7463845230329155,1.058217652202437
,,757,2008-08-08T06:58:48.700,resource_leak,0,0,13367,0,3,-0.39820225176889873,5.76852477039683
,,38,2008-08-13T13:24:41.533,thread_safety_violation,0,0,1078,0,0,-0.7417757008575395,0.08869677596257873
,,15,2008-09-16T23:02:53.223,thread_safety_violation,0,0,691,0,0,-0.7530109934446733,-0.09138144699335242
Best tool for synchronizing MySQL databases,|mysql|synchronization|,14,2008-09-09T18:48:21.413,thread_safety_violation,4,38158,214,1,1,1.0907465347435918,-1.0030671616267883
,,816,2008-09-17T18:13:03.037,thread_safety_violation,0,0,1744,0,0,0.13589727448952676,2.900525094943956
IllegalArgumentException or NullPointerException for a null parameter?,|java|exception|null|nullpointerexception|illegalargumentexception|,578,2008-08-06T19:26:30.627,null_dereference,26,205983,480,1,1,5.469515071678516,0.9483480884772674
,,11,2008-09-01T12:19:13.210,resource_leak,0,0,2024,0,0,-0.81104916732363,0.24691261220964006
,,11,2008-08-29T08:10:55.983,thread_safety_violation,0,0,981,0,0,-0.7692755121397019,-0.028388487936065288
,,46,2008-09-16T23:11:06.293,thread_safety_violation,0,0,2360,0,0,-0.7838224505743604,0.45418798965174684
,,13,2008-09-16T23:12:16.757,thread_safety_violation,0,0,961,0,0,-0.7661496831833583,-0.026891067639001166
,,387,2008-08-26T23:18:41.147,thread_safety_violation,0,0,1555,0,0,-0.3552026228697621,1.3970910226689348
,,21,2008-08-27T23:52:59.743,thread_safety_violation,0,0,918,0,0,-0.7551282707537701,-0.011135192102335035
"In Delphi, is TDataSet thread safe?",|multithreading|delphi|dataset|,14,2008-09-16T23:55:59.587,thread_safety_violation,6,5060,759,1,1,1.1534135137662584,-0.9846764004713392
,,127,2008-09-17T00:13:43.507,thread_safety_violation,0,0,480,0,0,-0.6143713336940211,0.23240572917478697
,,1922,2008-09-17T00:18:28.830,null_dereference,0,0,3084,0,0,1.3678427925434438,7.001593381930641
Exception handling: Contract vs Exceptional approach,|exception|,12,2008-08-25T16:52:23.110,null_dereference,5,905,2232,1,1,0.9406865151109862,-0.5924824141197035
How do I make event callbacks into my win forms thread safe?,|c#|.net|winforms|multithreading|events|,39,2008-08-08T17:32:41.783,thread_safety_violation,6,33935,574,1,1,1.3421223901370503,-0.8754971894381326
,,4233,2008-09-02T23:02:37.180,thread_safety_violation,0,0,769,0,4,4.146868391723397,14.220727710193014
,,17,2008-09-15T19:05:17.623,uninitialized_value,0,0,363,0,0,-0.7375493200044851,-0.17118099586683208
,,25,2008-08-13T22:34:57.083,thread_safety_violation,0,0,1163,0,0,-0.7602912741329518,0.06708574009440692
,,43,2008-09-16T02:21:31.710,thread_safety_violation,0,0,895,0,0,-0.7286342865304748,0.05733481729068608
,,32,2008-08-20T04:41:16.140,thread_safety_violation,0,0,3143,0,0,-0.831456331200948,0.6134266682757383
,,93,2008-09-18T02:25:34.117,uninitialized_value,0,0,408,0,0,-0.651009231382565,0.0982016902991636
Hidden Features of C#?,|c#|hidden-features|,1473,2008-08-12T16:32:24.540,thread_safety_violation,296,753991,3182,1,2,44.255877402750855,0.49121190159703076
,,21,2008-08-25T19:54:19.210,thread_safety_violation,0,0,2369,0,0,-0.8132429147344792,0.37185799707448036
,,109,2008-08-18T15:16:16.437,resource_leak,0,0,817,0,0,-0.6487918708724244,0.2603692846822984
,,14,2008-09-18T05:20:34.757,thread_safety_violation,0,0,702,0,0,-0.7546139593659744,-0.09186620594327881
,,24,2008-09-07T14:17:46.243,thread_safety_violation,0,0,1275,0,0,-0.765939435810319,0.09326005220365234
,,14,2008-09-10T03:09:58.617,thread_safety_violation,0,0,2316,0,0,-0.8192569885767701,0.33415102860625945
,,15,2008-09-18T07:03:21.767,thread_safety_violation,0,0,1342,0,0,-0.77908448292189,0.08045078329893345
Memory leak detectors for C?,|c|debugging|memory|memory-leaks|,35,2008-09-10T04:47:57.697,resource_leak,17,32039,518,1,1,2.754216774189056,-1.1365489205153414
Does the unmodifiable wrapper for java collections make them thread safe?,|java|multithreading|collections|unmodifiable|,19,2008-09-17T21:49:09.320,thread_safety_violation,9,7462,287,1,1,1.5792933177915354,-1.1483780227818892
,,798,2008-09-03T11:00:41.213,thread_safety_violation,0,0,1189,0,0,0.13720262458251725,2.693044181295217
,,2051,2008-09-20T00:48:23.480,null_dereference,0,0,4774,0,3,1.450105459702101,7.884751562936151
,,38,2008-09-19T19:10:10.317,thread_safety_violation,0,0,574,0,0,-0.7215897735203394,-0.044334628134674856
When should assertions stay in production code?,|assert|,196,2008-08-20T11:01:19.283,null_dereference,17,76893,2807,1,1,3.086171806719667,0.12700946914552882
Why is there no generic synchronized queue in .NET?,|.net|generics|synchronization|queue|,35,2008-09-20T04:34:48.553,thread_safety_violation,4,13753,223,1,1,0.9861245580262148,-0.9914956279874907
,,12,2008-09-12T15:04:26.620,thread_safety_violation,0,0,729,0,0,-0.7580201484242237,-0.0915159678501034
"Business Objects, Validation And Exceptions",|c#|validation|exception|business-objects|,38,2008-09-17T23:04:21.090,out_of_bounds,18,19575,2090,1,1,2.7585281988910655,-0.7638137485685798
Deadlock in ThreadPool,|ruby|multithreading|threadpool|deadlock|,14,2008-09-17T10:24:06.097,thread_safety_violation,5,8380,1263,1,1,1.0212320450756702,-0.8224979850277669
,,11,2008-09-19T07:05:24.373,thread_safety_violation,0,0,884,0,0,-0.7653905221561534,-0.053991754200814465
,,25,2008-09-16T19:19:01.077,thread_safety_violation,0,0,973,0,0,-0.7526814999383725,0.016935012359331158
,,201,2008-09-18T12:43:04.273,thread_safety_violation,0,0,805,0,0,-0.5413704492420796,0.5689183066811907
,,14,2008-09-21T00:20:56.377,null_dereference,0,0,537,0,0,-0.7480054712496292,-0.13541815371321306
,,23,2008-09-21T00:26:12.747,resource_leak,0,0,3003,0,0,-0.8363107295847404,0.5459795012596474
,,53,2008-09-20T10:02:01.280,thread_safety_violation,0,0,2051,0,0,-0.7633097543192392,0.39634462422471817
Why is my Java program leaking memory when I call run() on a Thread object?,|java|multithreading|memory-leaks|,28,2008-09-20T10:19:21.987,resource_leak,3,6898,446,1,1,0.803414494487436,-0.9530362094198479
,,19,2008-09-19T07:42:38.917,thread_safety_violation,0,0,237,0,0,-0.7301780380764287,-0.19766240262196813
Which loop has better performance? Why?,|java|performance|string|garbage-collection|,51,2008-09-21T02:46:43.393,uninitialized_value,8,9333,706,1,1,1.4800733754727369,-0.9038909104979248
,,42,2008-09-19T07:48:12.320,uninitialized_value,0,0,2445,0,0,-0.7918764234278691,0.4630709529948733
,,140,2008-09-11T21:06:49.910,null_dereference,0,0,2587,0,0,-0.6836485237581774,0.8325977923865695
True timeout on LWP::UserAgent request method,|perl|timeout|signals|lwp|,12,2008-09-16T15:01:45.593,thread_safety_violation,4,17667,3178,1,1,0.8616733545552083,-0.2795125185535045
Why don't languages raise errors on integer overflow by default?,|language-agnostic|integer|language-design|integer-overflow|,53,2008-09-19T16:53:10.533,null_dereference,10,5946,2707,1,1,1.6433973035078377,-0.41898378693665106
Are C++ Reads and Writes of an int Atomic?,|c++|multithreading|synchronization|atomic|,97,2008-09-10T14:26:41.423,thread_safety_violation,16,40877,717,1,1,2.735412674010711,-0.8307973653552492
How to pause / resume any external process under Windows?,|windows|process|process-management|,11,2008-09-19T08:26:17.127,thread_safety_violation,6,22575,457,1,1,1.254367212540619,-1.0300892003994506
,,190,2008-09-18T07:15:45.060,resource_leak,0,0,1878,0,0,-0.5971320482355486,0.8148674993045901
,,72,2008-09-19T08:48:40.567,thread_safety_violation,0,0,1509,0,0,-0.7195162712524379,0.3176592951376347
,,28,2008-09-18T18:26:18.723,thread_safety_violation,0,0,432,0,0,-0.7275264690647513,-0.1156979196825658
,,12,2008-09-18T18:52:10.470,null_dereference,0,0,1186,0,0,-0.7763236579343437,0.02910972991268408
,,147,2008-09-18T13:54:04.447,uninitialized_value,0,0,1493,0,0,-0.6316954446465045,0.5675527360540964
,,17,2008-09-22T16:00:21.027,uninitialized_value,0,0,1754,0,0,-0.7932608773974322,0.19597512139364354
,,15,2008-09-18T13:57:59.960,null_dereference,0,0,1277,0,0,-0.7764811391184814,0.06329395538956543
,,27,2008-09-19T08:56:48.350,thread_safety_violation,0,0,2060,0,0,-0.7938926185262362,0.310626409512863
,,20,2008-09-19T14:14:15.097,resource_leak,0,0,2987,0,0,-0.8391571066353051,0.5315916156781907
STL vectors with uninitialized storage?,|c++|optimization|stl|vector|,55,2008-09-18T20:31:31.480,uninitialized_value,17,36752,1063,1,1,2.7804853652978396,-0.9129662358506037
How to implement thread safe reference counting in C++,|c++|multithreading|atomic|reference-counting|,21,2008-09-18T14:33:15.037,thread_safety_violation,7,18240,473,1,1,1.3719944871655951,-1.0237075400135927
Locking in C#,|c#|multithreading|concurrency|synchronization|,14,2008-09-19T20:19:01.273,thread_safety_violation,7,9135,1494,1,1,1.2749603372000375,-0.8010456796480058
,,211,2008-09-19T09:38:10.247,uninitialized_value,0,0,3373,0,0,-0.6325985547295079,1.2806272060464172
,,32,2008-09-18T14:41:27.920,thread_safety_violation,0,0,398,0,0,-0.7215151198108402,-0.11111937189680353
,,29,2008-09-18T22:12:49.817,uninitialized_value,0,0,3225,0,0,-0.8382277496781905,0.6249060001576365
,,16,2008-09-18T14:43:35.310,uninitialized_value,0,0,4706,0,0,-0.9126551375621968,0.9717708375429687
,,2691,2008-09-17T04:20:06.487,resource_leak,0,0,1899,0,4,2.3091893887010615,9.294354033081639
,,217,2008-09-18T14:46:15.210,thread_safety_violation,0,0,1311,0,0,-0.5430380787154876,0.7566891673290747
,,50,2008-09-22T17:37:52.493,thread_safety_violation,0,0,233,0,0,-0.6939834308506877,-0.09368332124414118
,,122,2008-09-21T15:20:36.230,null_dereference,0,0,6304,0,3,-0.8534429387138355,1.7527163991812182
,,65,2008-09-20T18:21:54.963,thread_safety_violation,0,0,2692,0,0,-0.7750339288026242,0.6061960081460118
,,378,2008-09-24T13:48:48.097,thread_safety_violation,0,0,887,0,0,-0.3389098592812498,1.1902776227890544
,,37,2008-09-17T12:07:01.497,uninitialized_value,0,0,1546,0,0,-0.7616821762889606,0.20883771477543978
,,13,2008-09-24T04:58:52.970,thread_safety_violation,0,0,6089,0,3,-0.9715334835507435,1.326650678810833
,,119,2008-09-24T05:19:58.117,null_dereference,0,0,2735,0,0,-0.7139865383257653,0.8005099049538449
,,205,2008-09-26T11:59:35.647,thread_safety_violation,0,0,1441,0,0,-0.5621935668848431,0.7503441575327464
,,11,2008-09-24T06:11:04.217,division_by_zero,0,0,663,0,0,-0.7565391532245638,-0.11232496909266575
,,58,2008-09-21T23:52:53.160,thread_safety_violation,0,0,3658,0,0,-0.8218604231937384,0.8374553110569602
What's the best way to synchronize times to millisecond accuracy AND precision between machines?,|sockets|synchronization|gps|time-management|,37,2008-09-18T23:05:34.603,thread_safety_violation,9,42258,440,1,1,1.7775456420744649,-0.9586692871641749
,,241,2008-09-16T15:44:40.343,thread_safety_violation,0,0,2866,0,0,-0.5774204716565743,1.2484506123910077
,,177,2008-09-18T16:38:19.543,thread_safety_violation,0,0,587,0,0,-0.5605368357649543,0.4300596141550277
How to stop right click dead-locking Visual Studio 2008,|visual-studio-2008|crash|deadlock|,11,2008-09-24T10:54:16.127,thread_safety_violation,13,6621,394,1,1,2.0792736486108017,-1.232250321183971
,,17,2008-09-26T05:31:56.667,thread_safety_violation,0,0,394,0,0,-0.7387909147414954,-0.16299850871005658
,,13,2008-09-19T11:09:50.743,null_dereference,0,0,1788,0,0,-0.7992722266513433,0.19139657360788123
,,19,2008-09-22T00:52:29.553,resource_leak,0,0,555,0,0,-0.7429143969915669,-0.11372592146536768
,,71,2008-09-26T06:37:29.147,thread_safety_violation,0,0,845,0,0,-0.6940845130614175,0.13900747712888653
,,17,2008-09-23T00:22:28.010,thread_safety_violation,0,0,895,0,0,-0.7588566877493075,-0.030758958208620003
General guidelines to avoid memory leaks in C++,|c++|memory|memory-management|raii|,132,2008-09-16T20:41:14.670,resource_leak,29,125497,204,1,1,4.926287101608588,-0.9021340910460943
,,24,2008-09-23T07:21:04.107,uninitialized_value,0,0,510,0,0,-0.7353000818163545,-0.10866261472967902
Is it possible that F# will be optimized more than other .Net languages in the future?,|f#|functional-programming|parallel-processing|vectorization|,14,2008-09-27T14:33:39.467,thread_safety_violation,7,5911,794,1,1,1.2859982628572264,-0.9939962502813049
,,34,2008-09-16T15:50:29.737,thread_safety_violation,0,0,1473,0,0,-0.7622456210811516,0.17940461087346038
,,95,2008-09-16T09:51:16.153,thread_safety_violation,0,0,709,0,0,-0.6607399156707475,0.18442744534864522
How do I find which process is leaking memory?,|linux|ubuntu|memory-leaks|,27,2008-09-27T15:18:24.117,resource_leak,7,121485,274,1,1,1.9312838013192721,-0.7937976052180814
,,56,2008-09-15T17:38:23.497,thread_safety_violation,0,0,1463,0,0,-0.736272305618538,0.2513059858483551
,,244,2008-09-04T18:17:00.097,null_dereference,0,0,1372,0,0,-0.514096415480668,0.8642721880779148
Is there a good method in C# for throwing an exception on a given thread,|c#|multithreading|exception|,11,2008-09-04T20:03:50.527,thread_safety_violation,8,8599,1621,1,1,1.3930603918291875,-0.7997678464901868
,,11,2008-09-23T07:32:55.043,thread_safety_violation,0,0,342,0,0,-0.7436826399800375,-0.1970533038450832
Memory leak detection tools,|iphone|xcode|memory-management|memory-leaks|,64,2008-09-27T19:17:08.443,resource_leak,11,80556,309,1,1,2.2750975215362437,-0.8459753370255165
When is it good (if ever) to scrap production code and start over?,|refactoring|,54,2008-09-27T23:29:44.577,thread_safety_violation,29,6789,3138,1,1,4.092237804137166,-0.6933452310710522
,,16,2008-09-23T18:43:36.600,uninitialized_value,0,0,955,0,0,-0.7624221743839475,-0.018310108426868966
,,46,2008-10-01T07:03:01.870,null_dereference,0,0,518,0,0,-0.7100476923300695,-0.03201011817988235
,,16,2008-09-23T03:09:26.083,resource_leak,0,0,1759,0,0,-0.7946235346599573,0.19390665525208314
Is Bouncy Castle API Thread Safe?,|java|cryptography|bouncycastle|,12,2008-09-08T11:04:13.190,thread_safety_violation,2,5292,603,1,1,0.6405608367272752,-0.9491659934216622
Double checked locking Article,|java|synchronization|locking|double-checked-locking|,11,2008-10-01T11:34:04.810,thread_safety_violation,10,2114,877,1,1,1.6476669638267776,-1.0540480642334493
Connecting input _and_output between of two commands in shell/bash,|unix|shell|pipe|,11,2008-09-26T13:24:07.020,thread_safety_violation,8,8439,1954,1,1,1.3788796838709119,-0.7122782875088108
,,14,2008-09-11T06:47:15.420,division_by_zero,0,0,900,0,0,-0.7625441451055888,-0.03960386861935776
,,14,2008-09-24T21:48:07.740,resource_leak,0,0,1673,0,0,-0.7935039106445881,0.16443040790281885
,,13,2008-09-08T11:23:51.583,thread_safety_violation,0,0,920,0,0,-0.7645075740150543,-0.03771306678183327
How do I avoid a memory leak with LINQ-To-SQL?,|database|linq|linq-to-sql|memory-management|memory-leaks|,22,2008-09-23T19:01:17.993,resource_leak,5,13645,1259,1,1,1.0584504199168165,-0.7830818179802341
,,23,2008-09-19T21:10:36.110,thread_safety_violation,0,0,2041,0,0,-0.797781241294291,0.2920584482010007
,,68,2008-09-24T22:29:39.607,thread_safety_violation,0,0,718,0,0,-0.6924851799246227,0.09532100850220136
Will the below code cause memory leak in c++,|c++|exception|memory-leaks|constructor|,20,2008-09-29T04:58:34.183,resource_leak,7,14058,636,1,1,1.3422546976955347,-0.9946885119337221
,,41,2008-09-29T05:04:45.167,resource_leak,0,0,2042,0,0,-0.7768980918936131,0.35331039782220286
,,43,2008-10-01T14:49:48.007,thread_safety_violation,0,0,1355,0,0,-0.7470579503699828,0.17875236864929053
,,117,2008-09-26T13:49:43.590,thread_safety_violation,0,0,611,0,0,-0.6312420732127497,0.2331011148462417
When would I use AutoResetEvent and ManualResetEvent instead of Monitor.Wait()/Monitor.Pulse()?,|.net|multithreading|synchronization|locking|,20,2008-10-01T15:13:58.447,thread_safety_violation,4,11225,178,1,1,0.957162349403953,-1.0606145683816655
,,15,2008-10-01T15:29:00.003,thread_safety_violation,0,0,479,0,0,-0.7445200875012479,-0.1473391010977527
Is it possible to define a Ruby singleton method using a block?,|ruby|closures|singleton-methods|,12,2008-09-25T20:51:01.113,uninitialized_value,2,5964,981,1,1,0.628964416288402,-0.8476864417006221
,,27,2008-09-19T03:07:30.933,thread_safety_violation,0,0,835,0,0,-0.7448296006927637,-0.012713808779072789
Zero SQL deadlock by design - any coding patterns?,|sql|sql-server|design-patterns|deadlock|,32,2008-09-21T18:51:23.387,thread_safety_violation,10,8493,768,1,1,1.7100753484269442,-0.9954717863404783
,,11,2008-09-23T19:28:19.270,null_dereference,0,0,349,0,0,-0.743963000081943,-0.19520564545484356
,,18,2008-09-05T21:38:56.950,thread_safety_violation,0,0,847,0,0,-0.7557718184322197,-0.040040393607103084
,,11,2008-09-05T23:25:49.330,null_dereference,0,0,723,0,0,-0.7589422398123257,-0.09648789717632604
,,11,2008-09-26T14:10:01.997,null_dereference,0,0,1115,0,0,-0.7746424055190368,0.006980972677093423
,,275,2008-10-04T22:07:32.267,null_dereference,0,0,563,0,0,-0.4456603965357878,0.755770554578184
,,37,2008-10-05T00:10:42.610,thread_safety_violation,0,0,1468,0,0,-0.7585581637248702,0.18824952128419817
,,42,2008-09-09T13:23:22.723,thread_safety_violation,0,0,623,0,0,-0.7189026940461656,-0.017848130864642642
,,143,2008-09-19T03:36:24.610,null_dereference,0,0,4758,0,0,-0.7671130066513949,1.4158005109632277
